author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1121217957,0,1.0,2.0,7.0,1.6357259896375538,1885.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0,0.0
1121217957,0,1.0,33.0,114.0,5.193401050616452,13851.0,0.0,0.0,1.0,0.0,0.0,63.5,0.0,113.0,1,1.7132175925925925
1121273765,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
1121280847,0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0,0.0
1121281736,0,2.0,2.0,4.0,1.1122901045025195,78.0,0.0,0.0,1.0,0.0,0.0,8.5,0.0,2.0,0,0.0
1121288396,0,1.0,1.0,1.0,0.0,6.0,2.0,109.0,1.0,0.8152662037037037,1.0,121.0,2.2265932225045786,114.0,1,67.1827199074074
1121304743,1,1.0,1.0,1.0,0.0,3.0,0.0,412.0,1.0,1.0044675925925926,1.0,122.0,1.995552278017192,115.0,1,6.561238425925926
1121311029,0,1.0,6.0,8.0,2.789898095464288,15.0,15.0,543.5,1.0,1.077222222222222,8.0,126.5,1.3153779562366463,123.0,1,33.817314814814814
1121313791,0,1.0,1.0,1.0,0.0,3.0,2.0,199.0,1.0,1.1091898148148147,1.0,131.0,1.9015589456768998,124.0,1,1937.5111805555555
1121315275,0,1.0,1.0,1.0,0.0,54.0,105.0,200.0,1.0,0.017175925925925924,2.0,132.0,59.22102425876011,125.0,1,7.993148148148149
1121364536,0,1.0,1.0,1.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0,0.0
1121365203,0,1.0,11.0,13.0,0.9182958340544896,2.0,1.0,7.0,1.0,0.13109508547008547,1.0,139.0,0.12205947347139638,138.0,0,0.0
1121365979,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,146.0,0.0,139.0,1,0.0013078703703703703
1121366092,1,1.0,1.0,1.0,0.0,9.0,9.0,0.0,1.0,0.0013078703703703705,1.0,147.0,765.6017699115042,140.0,1,0.0015972222222222223
1121366230,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0015972222222222225,2.0,148.0,627.0869565217391,141.0,0,0.0
1121369113,0,1.0,1.0,1.0,0.0,82.0,48.0,0.0,1.0,0.0,0.0,149.0,0.0,0.0,0,0.0
1121375061,1,1.0,1.0,1.0,0.0,4.0,3.0,34.0,1.0,0.0688425925925926,1.0,12.0,15.52589105581708,2.0,0,0.0
1121388148,0,1.0,1.0,4.0,1.2600390627917537,862.0,1044.0,21.0,2.0,0.3457725694444445,3.0,14.5,3.192756807505061,6.0,0,0.0
1121388508,1,1.0,1.0,1.0,0.0,6.0,8.0,-165.0,2.0,0.004166666666666668,1.0,17.0,241.0,7.0,0,0.0
1121388798,1,1.0,1.0,2.0,0.9182958340544896,6.0,6.0,-123.5,2.0,0.005439814814814815,3.0,18.5,195.92296404989,9.0,0,0.0
1121388889,1,1.0,1.0,1.0,0.0,3.0,3.0,-167.0,2.0,0.0010532407407407409,3.0,20.0,950.4505494505496,10.0,0,0.0
1121440444,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.5,0.0,12.0,0,0.0
1121441480,1,1.0,1.0,2.0,0.1537421803287619,312.0,3.0,-40.0,2.0,0.3048726851851852,2.0,23.5,1.32001442617972,14.0,0,0.0
1121443066,0,1.0,1.0,2.0,0.4674165296873495,191.0,10.0,154.0,2.0,0.00917824074074074,1.0,25.5,27.738335435056747,16.0,0,0.0
1121444393,0,1.0,1.0,1.0,0.0,28.0,17.0,96.0,2.0,0.6509837962962963,2.0,150.0,2.5361365454707085,1.0,0,0.0
1121444966,1,1.0,1.0,1.0,0.0,1.0,1.0,107.0,2.0,0.006631944444444446,3.0,151.0,151.78534031413608,2.0,0,0.0
1121446039,1,1.0,1.0,1.0,0.0,3.0,5.0,51.0,1.0,2.639837962962963,1.0,152.0,1.3788111293306793,142.0,1,73.98960648148149
1121446328,0,1.0,1.0,2.0,0.9709505944546686,5.0,5.0,24.0,1.0,2.6431828703703704,2.0,153.5,1.2837488122397327,144.0,1,757.7346180555555
1121447143,0,1.0,1.0,1.0,0.0,139.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,17.0,0,0.0
1121447341,0,1.0,9.0,15.0,2.957426411988198,40.0,34.0,163.26666666666668,1.0,1.9084814814814808,15.0,162.0,0.9040393482482508,159.0,1,91.12583333333333
1121450370,0,1.0,1.0,1.0,0.0,8.0,2.0,107.0,2.0,0.0625462962962963,4.0,170.0,16.988156920799412,3.0,0,0.0
1121452821,1,2.0,2.0,2.0,0.7732266742876346,19.0,3.0,1096.5,2.0,1.194820601851852,5.0,171.5,1.5139080640109412,4.0,0,0.0
